"","Folder","Image Name","Origin","Accession #","Fossil/extant","Tooth Type","Side","Family","Tribe","Genus","Species","User ID","ML or BW"
"2681",NA,"DSCN5549","TM","14844","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","RSK","ML"
"2682",NA,"IMG_1206","Amathole","14965","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2683",NA,"IMG_1222","Amathole","14966","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2684",NA,"IMG_1233","Amathole","14973","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2685",NA,"IMG_1340","Amathole","14964","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2686",NA,"IMG_1345","Amathole","14967","Extant","UM3","R","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2687",NA,"IMG_1293","Amathole","14976","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2688",NA,"IMG_1302","Amathole","14980","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2689",NA,"IMG_4984","FMNH","19578","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2690",NA,"IMG_4948","FMNH","1477","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2691",NA,"IMG_4989","FMNH","19582","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2692",NA,"IMG_4995","FMNH","19584","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2693",NA,"IMG_4955","FMNH","26957","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2694",NA,"IMG_4964","FMNH","26958","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2695",NA,"IMG_4970","FMNH","26960","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2696",NA,"IMG_4974","FMNH","27166","Extant","UM3","L","Bovidae","Neotragini","Oreotragus","oreotragus","JS","BW"
"2697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2698",NA,"DSCN3792","NMB","9319","Extant","LM1","R","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2699",NA,"DSCN3796","NMB","9752","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2700",NA,"DSCN5630","TM","12112","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2701",NA,"DSCN5634","TM","17077","Extant","LM1",NA,"Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2702",NA,"DSCN5638","TM","17128","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2703",NA,"DSCN5642","TM","11564","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2704",NA,"DSCN5646","TM","4726","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2705",NA,"DSCN5650","TM","12109","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2706",NA,"DSCN5654","TM","AZ 2228","Extant","LM1","R","Bovidae","Neotragini","Ourebia","ourebi","RSK","ML"
"2707",NA,"IMG_1063","Amathole","15286","Extant","LM1","L","Bovidae","Neotragini","Ourebia","ourebi","JS","BW"
